id,coin_name,symbol,current_price,market_cap,fetched_at
1,Bitcoin,btc,76907.0,1540546461333,2026-05-18 14:58:42.412723
2,Ethereum,eth,2116.3,255418696817,2026-05-18 14:58:42.412723
3,Tether,usdt,1.0,189742350168,2026-05-18 14:58:42.412723
4,BNB,bnb,639.16,86154886129,2026-05-18 14:58:42.412723
5,XRP,xrp,1.38,85523457091,2026-05-18 14:58:42.412723
6,USDC,usdc,1.0,76954405479,2026-05-18 14:58:42.412723
7,Solana,sol,84.62,48958821218,2026-05-18 14:58:42.412723
8,TRON,trx,0.35,33633247395,2026-05-18 14:58:42.412723
9,Figure Heloc,figr_heloc,1.04,18518203467,2026-05-18 14:58:42.412723
10,Dogecoin,doge,0.1,16053719042,2026-05-18 14:58:42.412723
21,Bitcoin,btc,76780.0,1538821791973,2026-05-26 11:25:32.632015
22,Ethereum,eth,2097.02,253193036079,2026-05-26 11:25:32.632015
23,Tether,usdt,1.0,189427358948,2026-05-26 11:25:32.632015
24,BNB,bnb,658.04,88721445712,2026-05-26 11:25:32.632015
25,XRP,xrp,1.35,83276271117,2026-05-26 11:25:32.632015
26,USDC,usdc,1.0,76369034850,2026-05-26 11:25:32.632015
27,Solana,sol,84.49,48872453580,2026-05-26 11:25:32.632015
28,TRON,trx,0.37,35514803680,2026-05-26 11:25:32.632015
29,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 11:25:32.632015
30,Dogecoin,doge,0.1,15689957640,2026-05-26 11:25:32.632015
31,Bitcoin,btc,76808.0,1538258302436,2026-05-26 11:30:13.827234
32,Ethereum,eth,2098.1,253080854496,2026-05-26 11:30:13.827234
33,Tether,usdt,1.0,189430131418,2026-05-26 11:30:13.827234
34,BNB,bnb,658.39,88694721232,2026-05-26 11:30:13.827234
35,XRP,xrp,1.35,83236706150,2026-05-26 11:30:13.827234
36,USDC,usdc,1.0,76374347714,2026-05-26 11:30:13.827234
37,Solana,sol,84.53,48860053129,2026-05-26 11:30:13.827234
38,TRON,trx,0.37,35509634419,2026-05-26 11:30:13.827234
39,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 11:30:13.827234
40,Dogecoin,doge,0.1,15679688799,2026-05-26 11:30:13.827234
41,Bitcoin,btc,76782.0,1538827201128,2026-05-26 11:35:23.603015
42,Ethereum,eth,2097.47,253221494338,2026-05-26 11:35:23.603015
43,Tether,usdt,1.0,189428994659,2026-05-26 11:35:23.603015
44,BNB,bnb,658.29,88739769574,2026-05-26 11:35:23.603015
45,XRP,xrp,1.35,83260173934,2026-05-26 11:35:23.603015
46,USDC,usdc,1.0,76372357392,2026-05-26 11:35:23.603015
47,Solana,sol,84.44,48870404488,2026-05-26 11:35:23.603015
48,TRON,trx,0.37,35505739743,2026-05-26 11:35:23.603015
49,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 11:35:23.603015
50,Dogecoin,doge,0.1,15687826920,2026-05-26 11:35:23.603015
51,Bitcoin,btc,76595.0,1534544149058,2026-05-26 13:02:04.452054
52,Ethereum,eth,2094.47,252762143014,2026-05-26 13:02:04.452054
53,Tether,usdt,1.0,189397873166,2026-05-26 13:02:04.452054
54,BNB,bnb,655.63,88414553743,2026-05-26 13:02:04.452054
55,XRP,xrp,1.34,82964437451,2026-05-26 13:02:04.452054
56,USDC,usdc,1.0,76326153587,2026-05-26 13:02:04.452054
57,Solana,sol,84.15,48679848655,2026-05-26 13:02:04.452054
58,TRON,trx,0.37,35362898079,2026-05-26 13:02:04.452054
59,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:02:04.452054
60,Dogecoin,doge,0.1,15600114463,2026-05-26 13:02:04.452054
61,Bitcoin,btc,76628.0,1535796907543,2026-05-26 13:30:36.617454
62,Ethereum,eth,2093.37,253123782489,2026-05-26 13:30:36.617454
63,Tether,usdt,1.0,189406252031,2026-05-26 13:30:36.617454
64,BNB,bnb,657.25,88682945826,2026-05-26 13:30:36.617454
65,XRP,xrp,1.34,82915700406,2026-05-26 13:30:36.617454
66,USDC,usdc,1.0,76305993070,2026-05-26 13:30:36.617454
67,Solana,sol,84.23,48765659591,2026-05-26 13:30:36.617454
68,TRON,trx,0.37,35369878173,2026-05-26 13:30:36.617454
69,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:30:36.617454
70,Dogecoin,doge,0.1,15624534246,2026-05-26 13:30:36.617454
71,Bitcoin,btc,76683.0,1535928689165,2026-05-26 13:50:06.321174
72,Ethereum,eth,2096.56,252869071383,2026-05-26 13:50:06.321174
73,Tether,usdt,1.0,189398634212,2026-05-26 13:50:06.321174
74,BNB,bnb,656.32,88467349478,2026-05-26 13:50:06.321174
75,XRP,xrp,1.34,82888795036,2026-05-26 13:50:06.321174
76,USDC,usdc,1.0,76274965273,2026-05-26 13:50:06.321174
77,Solana,sol,84.32,48753179192,2026-05-26 13:50:06.321174
78,TRON,trx,0.37,35379847586,2026-05-26 13:50:06.321174
79,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:50:06.321174
80,Dogecoin,doge,0.1,15614073174,2026-05-26 13:50:06.321174
81,Bitcoin,btc,76683.0,1535928689165,2026-05-26 13:50:37.823863
82,Ethereum,eth,2096.56,252869071383,2026-05-26 13:50:37.823863
83,Tether,usdt,1.0,189398634212,2026-05-26 13:50:37.823863
84,BNB,bnb,656.32,88467349478,2026-05-26 13:50:37.823863
85,XRP,xrp,1.34,82888795036,2026-05-26 13:50:37.823863
86,USDC,usdc,1.0,76274965273,2026-05-26 13:50:37.823863
87,Solana,sol,84.32,48753179192,2026-05-26 13:50:37.823863
88,TRON,trx,0.37,35379847586,2026-05-26 13:50:37.823863
89,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:50:37.823863
90,Dogecoin,doge,0.1,15614073174,2026-05-26 13:50:37.823863
91,Bitcoin,btc,76698.0,1536583175643,2026-05-26 13:55:39.524678
92,Ethereum,eth,2096.78,253097335491,2026-05-26 13:55:39.524678
93,Tether,usdt,1.0,189401080284,2026-05-26 13:55:39.524678
94,BNB,bnb,656.56,88470957028,2026-05-26 13:55:39.524678
95,XRP,xrp,1.34,82911124361,2026-05-26 13:55:39.524678
96,USDC,usdc,1.0,76275058198,2026-05-26 13:55:39.524678
97,Solana,sol,84.38,48799596771,2026-05-26 13:55:39.524678
98,TRON,trx,0.37,35383601003,2026-05-26 13:55:39.524678
99,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 13:55:39.524678
100,Dogecoin,doge,0.1,15628239862,2026-05-26 13:55:39.524678
101,Bitcoin,btc,76709.0,1536796095584,2026-05-26 14:00:38.047850
102,Ethereum,eth,2096.19,253076874385,2026-05-26 14:00:38.047850
103,Tether,usdt,1.0,189400245941,2026-05-26 14:00:38.047850
104,BNB,bnb,656.05,88502678145,2026-05-26 14:00:38.047850
105,XRP,xrp,1.34,82912249554,2026-05-26 14:00:38.047850
106,USDC,usdc,1.0,76275063175,2026-05-26 14:00:38.047850
107,Solana,sol,84.36,48791078282,2026-05-26 14:00:38.047850
108,TRON,trx,0.37,35395968450,2026-05-26 14:00:38.047850
109,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:00:38.047850
110,Dogecoin,doge,0.1,15624047561,2026-05-26 14:00:38.047850
111,Bitcoin,btc,76707.0,1536856472827,2026-05-26 14:04:52.201771
112,Ethereum,eth,2095.44,252923013469,2026-05-26 14:04:52.201771
113,Tether,usdt,1.0,189412430287,2026-05-26 14:04:52.201771
114,BNB,bnb,656.35,88466582323,2026-05-26 14:04:52.201771
115,XRP,xrp,1.34,82908566127,2026-05-26 14:04:52.201771
116,USDC,usdc,1.0,76274203087,2026-05-26 14:04:52.201771
117,Solana,sol,84.35,48779872195,2026-05-26 14:04:52.201771
118,TRON,trx,0.37,35419640893,2026-05-26 14:04:52.201771
119,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:04:52.201771
120,Dogecoin,doge,0.1,15603941225,2026-05-26 14:04:52.201771
121,Bitcoin,btc,76707.0,1536856472827,2026-05-26 14:05:37.120051
122,Ethereum,eth,2095.44,252923013469,2026-05-26 14:05:37.120051
123,Tether,usdt,1.0,189412430287,2026-05-26 14:05:37.120051
124,BNB,bnb,656.35,88466582323,2026-05-26 14:05:37.120051
125,XRP,xrp,1.34,82908566127,2026-05-26 14:05:37.120051
126,USDC,usdc,1.0,76274203087,2026-05-26 14:05:37.120051
127,Solana,sol,84.35,48779872195,2026-05-26 14:05:37.120051
128,TRON,trx,0.37,35419640893,2026-05-26 14:05:37.120051
129,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:05:37.120051
130,Dogecoin,doge,0.1,15603941225,2026-05-26 14:05:37.120051
